id,text,created_at,favorite_count,retweet_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id_str,is_quote_status,bioguide_id,source_name,retweeted_status_id,retweeted_status_user_id
564820451508383746,"Hello everyone, I'm excited to join Twitter to share the work I'm doing in Congress on behalf of the American Samoan people.",Mon Feb 09 16:17:44 +0000 2015,25,16,,,,False,R000600,Twitter Web Client,,
727613422553157632,Congrats to students who participated in the 2016 Art Competition. Thanks for sharing your incredible artwork! #NV04 https://t.co/gI2CwJRQ47,Tue May 03 21:38:52 +0000 2016,1,1,,,,False,H001070,Twitter Web Client,,
727609591475916802,Congrats to Casey Korder from Parson Elementary on being named #PBSDigitalInnovator for leading the classroom in the #edtech space. #NV04,Tue May 03 21:23:39 +0000 2016,1,1,,,,False,H001070,Twitter Web Client,,
727590935303958529,Happy #NationalTeacherDay to all of Nevada’s incredible educators who continue to provide our students w/ exceptional education! #NV04,Tue May 03 20:09:31 +0000 2016,0,0,,,,False,H001070,Twitter Web Client,,
727280635082096640,"For National Small Biz Week, I’m hosting a workshop Friday to help #smallbiz Get Funded, Get Growing, Get Marketing! https://t.co/ouLFeAgaoT",Mon May 02 23:36:30 +0000 2016,0,2,,,,False,H001070,Twitter Web Client,,
727173826333839361,"This #NationalMilitaryAppreciationMonth, I want to thank our servicemembers for their tremendous sacrifices to protect our freedom &amp; safety.",Mon May 02 16:32:05 +0000 2016,1,0,,,,False,H001070,Twitter Web Client,,
698540659725176833,Proud to support this bill after a constituent came to me with her compelling story. @NY1 @ShannanFerryNY1  https://t.co/DdqTKZouUY,Sat Feb 13 16:14:06 +0000 2016,4,4,,,,True,D000625,Twitter for iPhone,,
698540163446763520,Joined the Korean-American Association this morning to celebrate #LunarNewYear https://t.co/MjTZzzggnN,Sat Feb 13 16:12:07 +0000 2016,0,1,,,,False,D000625,Twitter for iPhone,,
698540103724113920,"RT @ShannanFerryNY1: Resident, @RepDanDonovan Push for Lymphedema Treatment Act. My @NY1 report: https://t.co/VeUdy1p9qn #lymphedema #medic…",Sat Feb 13 16:11:53 +0000 2016,0,2,,,,False,D000625,Mobile Web,698535974331162625,326494541
697943266344464384,ICYMI: Video of my speech on #HouseFloor re: @911memorial legislation. https://t.co/ySACYHkTFQ,Fri Feb 12 00:40:16 +0000 2016,1,1,,,,False,D000625,Hootsuite,,
697878740534222848,Had a productive meeting this afternoon with my colleague @RepJeffries regarding criminal justice reform.,Thu Feb 11 20:23:52 +0000 2016,1,1,,,,False,D000625,Twitter Web Client,,
